Codec,PSNR,SSIM,VMAF,Compression Ratio,File Size (MB),Encoding Time (s)
AVC,36.182178,0.979253,95.504073,2.2800571762280883,1.0761651992797852,1.3594255447387695
HEVC,36.525975,0.978541,95.55048,2.094211049811897,1.1716670989990234,3.0608952045440674
